,Symbol,Date,Expiry Date,Underlying,Strike Price,Straddle,Straddle %,Call IV,Put IV,R-VOL 7,R-VOL 20,R-VOL 100,Hist_RV,Edge,Year Corr.(NF),60 day Corr.(NF),Year Corr.(BNK),60 day Corr.(BNK),Edge 2,Hist Straddle
12,SBILIFE,2022-04-05,26-May-2022,1125.0,1120.0,69.9,6.213333333333334,0,0,19.71,25.56,26.58,12.73,3.6,48.98,58.88,,,1.9233333333333338,4.29
13,SBILIFE,2022-04-05,28-Apr-2022,1125.0,1120.0,70.45,6.2622222222222215,27.83,29.77,19.71,25.56,26.58,12.73,3.65,48.98,58.88,,,1.9722222222222214,4.29
14,FEDERALBNK,2022-04-05,26-May-2022,102.3,102.0,0.0,0.0,0,0,26.16,37.82,36.19,18.2,-3.67,60.44,80.69,67.68,82.18,-6.26,6.26
15,FEDERALBNK,2022-04-05,28-Apr-2022,102.3,102.0,8.15,7.9667644183773225,38.39,38.57,26.16,37.82,36.19,18.2,4.3,60.44,80.69,67.68,82.18,1.7067644183773227,6.26
16,RELIANCE,2022-04-05,26-May-2022,2660.65,2660.0,123.35,4.6360851671584005,24.31,0,15.13,29.85,29.55,12.2,2.18,68.71,77.78,,,0.5960851671584004,4.04
17,RELIANCE,2022-04-05,28-Apr-2022,2660.65,2660.0,142.9,5.370868020972319,25.66,25.32,15.13,29.85,29.55,12.2,2.92,68.71,77.78,,,1.3308680209723187,4.04
18,GRASIM,2022-04-05,26-May-2022,1680.0,1680.0,108.95,6.4851190476190474,0,0,15.5,25.08,33.5,15.01,3.47,66.01,88.4,,,0.8251190476190473,5.66
19,GRASIM,2022-04-05,28-Apr-2022,1680.0,1680.0,116.35,6.925595238095237,31.72,34.65,15.5,25.08,33.5,15.01,3.91,66.01,88.4,,,1.265595238095237,5.66
20,HCLTECH,2022-04-05,26-May-2022,1187.0,1190.0,0.0,0.0,0,0,14.02,18.58,27.43,12.73,-2.55,48.9,70.95,,,-6.91,6.91
21,HCLTECH,2022-04-05,28-Apr-2022,1187.0,1190.0,70.05,5.901432181971356,24.05,33.56,14.02,18.58,27.43,12.73,3.35,48.9,70.95,,,-1.0085678180286441,6.91
22,RBLBANK,2022-04-05,26-May-2022,141.35,142.5,14.9,10.541209762999646,0,0,39.61,39.16,60.84,22.86,5.93,56.13,85.8,59.3,83.3,0.42120976299964674,10.12
23,RBLBANK,2022-04-05,28-Apr-2022,141.35,142.5,16.4,11.602405376724443,49.84,47.65,39.61,39.16,60.84,22.86,7.0,56.13,85.8,59.3,83.3,1.4824053767244436,10.12
24,HDFC,2022-04-05,26-May-2022,2676.0,2680.0,390.65,14.59828101644245,0,37.83,50.05,44.96,32.72,13.85,11.82,74.88,78.95,,,8.99828101644245,5.6
25,HDFC,2022-04-05,28-Apr-2022,2676.0,2680.0,166.0,6.203288490284006,28.95,30.94,50.05,44.96,32.72,13.85,3.43,74.88,78.95,,,0.6032884902840063,5.6
26,HDFCBANK,2022-04-05,26-May-2022,1654.1,1650.0,166.3,10.053805694939848,18.2,0,51.97,41.04,29.17,11.6,7.69,73.28,79.33,81.98,87.69,5.223805694939848,4.83
27,HDFCBANK,2022-04-05,28-Apr-2022,1654.1,1650.0,100.5,6.075811619611874,23.81,35.4,51.97,41.04,29.17,11.6,3.72,73.28,79.33,81.98,87.69,1.2458116196118736,4.83
28,COALINDIA,2022-04-05,26-May-2022,187.85,187.5,,,0,,28.18,35.59,40.5,17.25,,35.66,28.62,,,,6.43
29,COALINDIA,2022-04-05,28-Apr-2022,187.85,187.5,14.35,7.639073729039127,34.92,38.49,28.18,35.59,40.5,17.25,4.17,35.66,28.62,,,1.209073729039127,6.43
30,HDFCLIFE,2022-04-05,26-May-2022,570.85,570.0,39.15,6.858193921345361,0,0,31.61,30.49,31.47,12.51,4.33,55.33,66.91,,,3.028193921345361,3.83
31,HDFCLIFE,2022-04-05,28-Apr-2022,570.85,570.0,40.5,7.0946833669089955,33.32,34.76,31.61,30.49,31.47,12.51,4.57,55.33,66.91,,,3.2646833669089954,3.83
32,PNB,2022-04-05,26-May-2022,36.9,37.0,5.0,13.550135501355015,0,0,25.61,21.73,40.68,17.51,10.04,51.85,75.41,58.73,72.95,7.360135501355015,6.19
33,PNB,2022-04-05,28-Apr-2022,36.9,37.0,2.85,7.723577235772358,36.58,36.38,25.61,21.73,40.68,17.51,4.22,51.85,75.41,58.73,72.95,1.5335772357723574,6.19
34,HINDALCO,2022-04-05,26-May-2022,585.75,590.0,38.5,6.572769953051644,39.53,0,45.92,47.13,39.73,19.61,2.62,47.67,21.44,,,2.482769953051644,4.09
35,HINDALCO,2022-04-05,28-Apr-2022,585.75,590.0,47.1,8.040973111395646,35.62,41.99,45.92,47.13,39.73,19.61,4.09,47.67,21.44,,,3.950973111395646,4.09
36,HINDUNILVR,2022-04-05,26-May-2022,2127.0,2120.0,109.4,5.143394452280208,0,0,14.05,32.45,23.71,11.29,2.83,44.64,72.3,,,0.883394452280208,4.26
37,HINDUNILVR,2022-04-05,28-Apr-2022,2127.0,2120.0,111.3,5.232722143864599,22.23,25.51,14.05,32.45,23.71,11.29,2.92,44.64,72.3,,,0.9727221438645994,4.26
38,ONGC,2022-04-05,26-May-2022,168.0,167.5,16.65,9.910714285714285,0,0,39.25,57.7,39.72,19.11,6.06,25.05,-7.23,,,3.690714285714285,6.22
